topic,text
amy schumer,Jennifer Lawrence waxed lyrical about Amy Schumer's physique on Monday to chat show hos... https://t.co/SqFg4c8pLd https://t.co/7c2n6smTM0
amy schumer,"Luxury&gt; Watch: Jennifer Lawrence, Amy Schumer May Grace the Red Carpet in Same Dress &gt; La-- https://t.co/8o4JyTl7wR #VIP"
amy schumer,"Meryl StreepThis past Sunday, Amy Schumer cemented her position at the top of ... https://t.co/GqessDROD7"
amy schumer,My friday night consists of bingewatching Inside Amy Schumer on my pc with my flatmate next to me on my bed watching something scary on hers
amy schumer,Naked Hanukkah Celebration with Amy Schumer and YOU! will air on IWS Radio this Sunday at 12 Noon ET! ... https://t.co/wX72h6ED9J
amy schumer,"November 1: Selena with Amy Schumer backstage at the 19th Annual Hollywood Film Awards in Beverly Hills, California. https://t.co/7dFYcR7itv"
amy schumer,Ouch! Amy Schumer took to Instagram Sunday to show off her souvenir from her stint as the host of Saturday Night Live. Schumer hosted the
amy schumer,"Red-hot comedian Amy Schumer will bring her first solo arena tour to the BB&amp;T Center, #Miami on Dec 12. Do not... https://t.co/9iN6vsLBVX"
amy schumer,"Remember Amy Schumer on  #RedEye.....sadly now I think she may think she is ""to good for panel"""
amy schumer,SCJ News: DVD REVIEW: Amy Schumer's begins a long film career with 'Trainwreck': Amy Poehler and Tina Fey may ... https://t.co/zdJfx7JVEv
amy schumer,See my article in @NewTimesBroward and then see Amy Schumer at the BB&amp;T Center this Saturday https://t.co/E7k4zK8lFk
amy schumer,Someone come see Amy Schumer with me in June
amy schumer,"Tomorrow 7:10 @Fly923 - I'm catching ""33"", and the real ""Trainwreck"" on DVD isn't the Amy Schumer comedy. Listen: https://t.co/Wumi97Gtlh"
amy schumer,"Tried to make a dinner reservation for my husband's birthday tomorrow, but Amy Schumer's in town and EVERY RESTAURANT is booked. #wifefail."
amy schumer,We made the last line of the St. Louis Post review of Amy Schumer's show. Tues. &amp; Wed. we are JazzStandardNYC solid! https://t.co/FUbIlj6OoH
amy schumer,When Amy schumer is friends with ur 2nd grade teacher &amp; updates u on her life (she taught the other class but still) https://t.co/maSqd7eStz
amy schumer,Wish I had someone to go see Amy Schumer with me on Saturday!!
amy schumer,"can I be the 3rd clumsy, funny blonde to finish Amy Schumer and JLaw's (incomplete?) friend trio?"
amy schumer,the new season of american crime is based on that Friday Night Lights Amy Schumer parody sketch?
amy schumer,"#SNL Well it's a good thing I stumbled upon Maya Rudolph, Amy Schumer, Paul McCartney &amp; Bruce's 3rd # after #ROH10man. #Cheeseburger #KGET"
amy schumer,'Amy Schumer' appeared on Monday 30 at the 13th place in the Top20 of Los Angeles's Trends: https://t.co/ykhfqbyfoW #trndnl
amy schumer,41 Amy Schumer quotes to get you through Wednesday (she's pretty badass) https://t.co/ZafHRVOXJ2 https://t.co/iuKYinDDIp
amy schumer,AMY SCHUMER TICKETS STILL AVAILABLE for SUNDAY's SHOW at Kent State!! Go to the https://t.co/BEiJQTSqzn website! https://t.co/IIuIxWfUkW
amy schumer,Actress and comedian Amy Schumer shared an intimate portrait on Monday that it will not quickly be forgotten.
amy schumer,Amy Schumer and Jerry Seinfeld headline a show in support of the 15th anniversary of Baby Buggy https://t.co/mcBWyZ8Ezp via @WSJ
amy schumer,Amy Schumer will be here Friday &amp; I want to go!
amy schumer,Amy Schumer's honest post may actually inspire you to strip down: https://t.co/oMfZyRZzTd https://t.co/vwnlJUbIiK
amy schumer,"And my toughest final is tomorrow, it's cumulative, and I've been watching Amy Schumer and the office all night instead of studying"
amy schumer,"Demi Lovato Praises Amy Schumer On 2016 Pirelli Calendar Photo: On Thursday night, the comedian spoke ... https://t.co/0W91oDlx3n #lovato"
amy schumer,Did you know that 'Amy Schumer' was Trending Topic on Monday 30 for 4 hours in United States? https://t.co/hEkuLcyKBj #trndnl
amy schumer,"Done with AHS till Wednesday &amp; finished inside Amy Schumer, now what?"
amy schumer,"For those that wanna see Inside Amy Schumer's Golden Globes , it may happen! #cantwait https://t.co/3P2aTZQXYe"
amy schumer,"From my 2nd family, Katherine M., a student in NYC, got an internship with Amy Schumer...now that's cool."
amy schumer,Going to see Amy schumer in Nashville tonight. But don't worry I got your epl plays over on @RotoGrinders https://t.co/Ke5OUvCJC4
amy schumer,I just want it to be Saturday so Amy Schumer can make me laugh and feel good about my life compared to hers.
amy schumer,"I'm just really excited for my comedy filled day tomorrow... Amy Schumer live AND John Mulaney on Netflix?! Thank you, America."
amy schumer,Inside Amy Schumer is scorching its merry way back onto @ComedyCentralUK in the new year. S3 begins on Jan 11 at 11pm. (S2 still on demand.)
amy schumer,It was a WILD night at @JazzStLouis Jazz at the Bistro. Amy Schumer &amp; cast dug our 2nd set &amp; had a comedy jam- Epic! https://t.co/CrE5Z3e2pr
amy schumer,"Kerry Washington, Viola Davis, Amy Schumer and Jill Soloway all make @THR power 100 list for 1st time. #changingtheworld"
amy schumer,Kind of equally excited at staying in watching The Soup finale tonight as I am for going out to see Amy Schumer tomorrow. Well...kind of
amy schumer,On Saturday Night Live set today with Amy Schumer! https://t.co/TukAF6unNx
amy schumer,"One of the 1st jokes from the hilarious Amy Schumer at @TWCArena: ""If anybody thought they were seeing 'Godspell' tonight, maybe exit left."""
amy schumer,Outrageously funny: Amy Schumer plays Mohegan Sun tonight https://t.co/mDuaBrmTSe via @thedayct
amy schumer,"PGA Awards TV Nominations Include Better Call Saul, Mad Men and Inside Amy Schumer: On Tuesday, the ... https://t.co/y6iI4r32vu #tvupdate"
amy schumer,PHOTOS: Beautiful! Selena presenting Amy Schumer with an award at the 19th Annual Hollywood Film Awards! https://t.co/cMZxZJdUnH
amy schumer,Selena Gomez presented Amy Schumer with an award and a heap of praise at the Hollywood Film Awards on November 1.
amy schumer,"Selena Gomez, Amy Schumer Get Cuddly on the Red Carpet: See the Cuteness Here!:  https://t.co/6woDJnSw2T #Videos #May"
amy schumer,Some may find it tragic that I'm sat alone watching Amy Schumer and eating Ben and Jerries but personally I feel no shame
amy schumer,The only reason I keep going is that I get to see Amy schumer in June
amy schumer,"Watching 'Inside Amy Schumer' for the 1st time. She's funny, sassy, smart, beautiful...&amp; sleeps with a teddy bear in one sketch. I'm hooked."
amy schumer,Watching Amy Schumer for the 1st time...so funny! I must have been living under a rock or something
amy schumer,"Watching The Pogues's ""Fairytale of NY"" for the 9th time today and is it just me or does Kirsty MacColl look kinda like Amy Schumer?"
amy schumer,Well kid's it's Friday. So rejoice. Another week is done. The Hell with trump I'm voting for Amy Schumer.. White house bound   @amyschumer
amy schumer,"When it comes to body empowerment and feeling comfortable in your own skin, Amy Schumer is the role model we look up to. On Thursday"
amy schumer,Who was the best 'Saturday Night Live' host? Amy Schumer. 50% of voters agree with me. https://t.co/EeDuFef6Tf
amy schumer,Who went to the first Amy Schumer show on Saturday? Anyone who would be willing to talk to me about it? https://t.co/ChD4hDvYBf
amy schumer,"Will Smith, Amy Schumer and Carey Mulligan were among those honoured Sunday at the Hollywood Film Awards, with... https://t.co/oyAfpoEb1c"
amy schumer,just another reason to love Amy Schumer and here's a piece on the calendar.. https://t.co/hGZ4uQ7JaF https://t.co/sHh8rkAfLo
amy schumer,Can't wait to see Amy Schumer with @_stephaniefrey_ tomorrow!
amy schumer,I get to see Amy Schumer live tomorrow. I'm literally the luckiest girl on planet earth
amy schumer,"I think I may have just fell in love with @amyschumer after watching ""Amy Schumer: Live...Extended Cut"" on @hbonow."
amy schumer,Saw TRAINWRECK for the 2nd time &amp; again found it &amp; Amy Schumer brilliant as was the screenplay she wrote. Mel Brooks agreed.100%
amy schumer,"Watching ""Trainwreck"" for the 2nd time with my girls. Hilarious!!! Love Amy Schumer! #Trainwreck #JohnCena #AmySchumer"
amy schumer,Watching Amy Schumer: Live at the Apollo makes me so excited for Sunday when @KentStateUSG brings @amyschumer
ant-man,"More meta-textually, Ant-Man may be the worst movie in the Marvel Universe for gender roles. Of its... http://t.co/f1ZCRHP5PH"
ant-man,ANT-MAN was the 1st time I didn't stay for a Marvel film's post credits scene. The film was just one big teaser. Didn't need to see another.
ant-man,As ridiculous as Ant-Man may have looked it was actually pretty damn good #bigfan
ant-man,"PODGODZ 165: Podgodz 165 Recorded 28 July 2015 I saw Ant-Man, I should not have. Midroll sells to, I want to s... http://t.co/dSsOjPvs7K"
ant-man,Reason why Ant-Man may have 'struggled' vs. other Marvel? My parents assumed it was a parody.
ant-man,"Sorry gang, 2nd Act of Ant-Man just kills my buzz. SO BORING and the writing is REALLY bad. I'm hoping this stuff wasn't in Wright's script."
ant-man,The only reason I'm watching Ant-Man is cause of 5$ Tuesday this is definitely something you wait to watch at home
ant-man,"More meta-textually, Ant-Man may be the worst movie in the Marvel Universe for gender roles. Of its... http://t.co/OrBmTSFmVu"
ant-man,@CollectorCorps Hi corps I ordered two boxes of Ant-man on July  23rd and I haven't received anything not even a email. I emailed you guys.
ant-man,"@Dat_Saintsfan Going to see Ant-Man on Tuesday! Is it worth the money, or should I avoid it and go see another film?"
ant-man,"@EvangelineLilly @AntMan May I just ask, do the ants in Ant-Man agree to work with humans willingly? Because otherwise it would be horrible."
ant-man,"@Kapot333 @Fyrasec I usually wait until the unwashed masses have already seen it I saw Ant-Man on Saturday, &amp; the theater was almost empty"
ant-man,@Marvel's Ant-Man is in cinemas this weekend and we have goodies to giveaway. See @WitnessKZN tomorrow (August 1) for all the deets
ant-man,"@cinemasins @andysignore both of you, get started with your Honest trailer and EWW for Ant-man. You have until next Tuesday to do it! :D"
ant-man,@dmnqpvt Hartzel and I are planning to watch Ant-Man tomorrow at SM Pala-pala but the problem is that it's only available in 3D
ant-man,@doedoejohoe I'll just get it tomorrow after I see Ant-Man with or without Coffey.
ant-man,@missjacksteezy then stay home either way d: go watch Ant-Man tomorrow or something lol It's just what I'd do.Of course it's still up to you
ant-man,"@nron10 @StrikerObi It's not really a hiatus. There's just a 10-month space between Ant-Man and the next MCU film release, Civil War in May."
ant-man,"@philxl The subtitled films at MK this week are Inside Out tonight at 7pm, Ant-Man 19:40 Thursday and The Gallows 21:30 Monday"
ant-man,@phredlevi Are we on for Ant-Man on tues? I think you said something about your shifts getting moved?
ant-man,"@sebpatrick I'm seeing Ant-Man tomorrow. If it has an ant called Antony, and that ant dies, if this is a spoiler, I will be so mad at you."
ant-man,"@treblebeth no like I saw Ant-Man last week, watched WHAS on Thursday, the show yesterday, AND HIS FACE DID NOT CHANGE"
ant-man,"Am contemplating watching Ant-Man, should I see it, or wait for the shorter, although more irritating Dec-Man?"
ant-man,"Ant-Man ends this Thursday. See it before it goes. Plays daily at 1:15, 3:50, 6:40 &amp; 9:40 PM http://t.co/AIWyf3J5av"
ant-man,"Ant-Man is Weekend Champ with just $24.8 million. ""Pixels"" #2 ($24M). Bet WB regrets moving ""Pan"" from this weekend to crowded October."
ant-man,"Anywho, I'm not really sure what I think of Ant-Man. May need some time to mull it over"
ant-man,"Bout to see Ant-Man, hope it's good!!! I'll report back tomorrow!"
ant-man,Box Office: 'Pixels' beats 'Ant-Man' on Friday but is it game over for the weekend? http://t.co/YsW1ljcyL1 http://t.co/u2IjmLJzgR
ant-man,Check out our 2nd episode. We tell you what we thought of Ant-Man and what Netflix shows to binge watch. https://t.co/pnHOb5WzsO
ant-man,"Cinematic double bill tonight. 1st up is South-""as subtle as a punch to the face""-paw (@rosstmiller), then MCU's latest expulsion: Ant-Man!"
ant-man,"Cool, Ant-Man isn't working. Beauty sleep for me then seeing as it's Monday."
ant-man,"Gentle reminder, If you wish to see Ant-Man and or Minions, you will need to do so prior to Friday, August 7."
ant-man,Going to see Ant-Man tomorrow. Has tlist been and did you like it?
ant-man,Going to watch Ant-Man on Tues because of Rudd and also make a decision on whether it beats Guardians and The Winter Soldier
ant-man,I can't believe I just sat through Ant-Man again
ant-man,I fail to be an Ant in my new video! Ant-Man review coming tomorrow guys hope you like it!
ant-man,"I have tomorrow off so it's Friday to me! ""What will you do with your day off, Kev?"" Thanks for asking. I'll go see Ant-Man."
ant-man,I would have posted a podcast if the threat of getting stung by a yellowjacket on Monday and seeing Ant-man last night hadn't occurred.
ant-man,I'm gonna have breakfast with my friend tomorrow and then we'll see Ant-man
ant-man,"I'm taking a piss 2 minutes before seeing ""Ant-Man"" &amp; suddenly this old guy just randomly spoils the 1st post-credits sting for me."
ant-man,"If like me you sat through Ant-Man wondering which bits were Edgar's ideas, the Empire spoiler podcast goes into it  http://t.co/j01RvBMxjX"
ant-man,"If you're planning to watch Ant-Man, make sure you stay to watch the 2nd footage after all the credits."
ant-man,In this second time I've watched Ant-Man and this time I was the only one that stayed for the 2nd after credits scene
ant-man,Kinda getting annoyed seeing I was paying yet my sisters decided no movies today xP At least I'll watch Ant-Man with a discount tomorrow &lt;.&lt;
ant-man,My dad and I were the only ones who stayed to see the 2nd extra scene after the credits for Ant-Man.
ant-man,NORTH AMERICA: 'Ant-Man' Claims #1 on Tuesday with $4.27M; 'Minions' Remains a Close #2 with $4.01M; 'Pixels' ... http://t.co/Isv8ZtgXvQ
ant-man,"Now I'm done with Ant-Man, which would have been excellent if they kept Wright on, but is at least a lot of fun.  More tomorrow."
ant-man,"Of course I'm coming! Writer is going to see Ant-Man tomorrow, but I know I will at least see ya!~"
ant-man,"Only person left from a packed theatre waiting to see the 2nd end-credits scene in Ant-Man.  Come on people, you know how this works by now."
ant-man,"Prep work before the Con tomorrow (@ Cinemagic for Ant-Man in Portsmouth, NH) https://t.co/ubJOcRNfoP"
ant-man,"Rainy weekend helps power surging UK box-office, as Disney scores double with Inside Out and Ant-Man at 1 and 2: http://t.co/BqzCEsDgMZ"
ant-man,Sat in the pub have a non-alcoholic beverage before going to see Ant-Man.
ant-man,Shaun the Sheep or Ant-Man tomorrow with the boys?
ant-man,So .... Who's up for seeing Ant-Man with me on Saturday? 2:30pm showing. Let me know!
ant-man,Someone come see Ant-Man with me tomorrow.
ant-man,The new Fantastic Four movie isn't that bad at all! Tomorrow I'm going to watch Ant-Man! :)
ant-man,Think I might go to the movies on Saturday morning. Should I see Ant-Man or Inside Out?
ant-man,"Waiting for the 2nd post credit stinger for Ant-Man, alone in the cinema, is probably the nerdiest thing I've ever done."
ant-man,"Want to go the cinema on my day off tomorrow, but Inside Out or Ant-Man? Will IO be full of kids? So torn right now."
ant-man,"We're going to see Ant-Man tomorrow. If you'd like to go, meet at the Warehouse at 11:30, so we can eat lunch in... http://t.co/0wyDNfHLQb"
ant-man,"Well,  http://t.co/68hIay5W8x had a decent Tuesday opening at the box office.  Will it beat Ant-Man over the weekend? http://t.co/DakcMBeWaX"
ant-man,You'll be able to buy 'Marvel's Ant-Man: The Art of the Movie' Slipcase on 4 August 2015. http://t.co/KYxxQGumkc http://t.co/1OA5BaJwry
ant-man,going to see Ant-man wednesday. hopefully its good.
ant-man,@micohalili: Can't spell Star Hotshots without the word SHORT. Go Ant-Man!!!  https://t.co/7Onfnd9sLs
ant-man,"#SmartNCAA: It's another 'Yes para sa tres' for the ""Ant-man"" Mark Cruz! Letran stil on top, 72-53 with 1:53 remaining in the 4th!"
ant-man,"#SmartNCAA: It's another 'Yes para sa tres' for the ""Ant-man"" Mark Cruz! Letran still on top, 72-53 with 1:53 remaining in the 4th!"
ant-man,"// -- cinema this Saturday. I would love to see Ant-Man, but he's not into Marvel like I am, so I believe I'm gonna have to give it a miss."
ant-man,"// So, I thought Ant-Man was out of the question for the cinema Saturday but my boyfriend said the films he's seen are 'awesome' and that -"
ant-man,"3rd time. Antman with friends (@ Rogers 18 Theater for Ant-Man in Rogers, MN) https://t.co/c3bZbmDx40"
ant-man,5 Days off now! Bit of golf on the agenda and a few other bits. Looking forward to watching @Marvel's Ant-Man on Thursday too!
ant-man,@2Hopesdestiny I've got Mon. off work &amp; I'm going to see Ant-Man movie in theaters. Want to see it in 3D.
ant-man,@AMCTheatres Saw Ant-Man at AMC Eastchase 9 in Fort Worth.  1st time at the theater.  Great experience for my wife and me!
ant-man,"@Abdullahbats Here it's 1:20 PM, I can be around that time but maaaybe I'll be gone since I may watch Ant-man today"
ant-man,@Braxwolf We're going to see Ant-Man tomorrow. I figured it would seem even better in comparison after watching this. :)
ant-man,@CoyJandreau @TheMattKey @SizzlerKistler just watched the show. Great show. Couldn't agree it's about Ant-Man. See ya Thursday
ant-man,@DANNY_DICKBLOOD Ant-Man was #1 for the 2nd straight week domestically.  Never has this been more apropos.  https://t.co/gQGlU5SLwt
ant-man,"@EveLovelock1 Hi Eve, I hope you enjoyed Ant-Man! Saverday Tuesday is all day &amp; prices can be found here in future: https://t.co/FsOnBVYJyz"
ant-man,"@FB_BMB I went to see Mission Impossible Rouge Nation today, I really enjoyed it. Have u seen it? I might go see Ant-Man tomorrow?"
ant-man,"@FabrecIass I had high expectactions when I watched because everyone was hyping it so much, I knew Ant-Man would be good after 1st trailer"
ant-man,"@HeroesInColor00 you definitely aren't, Ant-Man was my 2nd favorite Phase 2 flick right after Winter Soldier"
ant-man,@ItsNotAStar Took my son to see Ant-Man yesterday and the #ForceAwakens trailer played before. 1st time seeing it on big screen. #AWESOME
ant-man,"@Jacksters26 Probably see Ant-Man at the cinema tomorrow. ) I hope you enjoy your tea, I'm certain you will. x"
ant-man,"@JayCyde There are a few winks in WINTER SOLDIER and ANT-MAN, various IRON MANs. Largely, though, you may be right."
ant-man,"@NinDorkKnight @SpinelessOyster I am so hyped for tomorrow, the clip at the end of Ant-Man was enough to get me excited"
ant-man,@ReesMarshall1 They are great aren't they - I have one from the Ant-Man wave coming tomorrow as I want to build the Ultron figure.
ant-man,"@Rivulet027 Yeah, Ant-man fails on Jan and her daughter, but it's still a better movie than FF according to reviewers I trust."
ant-man,"@RottenTomatoes Horrible. Diehard fans may love the hard R, but lots of people will pass. Ant-Man was fun, quirky, enjoyable. Not this."
ant-man,"@Sartorial_Kai @LordXReshead  Na if they know wa good for them it will be like Ant-man, Mar-Vell would give Carol Danvers the mantle"
ant-man,"@SlyBibliomaniac yeah, on Friday I went and saw two movies people bitch about - Ant-Man and Minions. I had a good time! #HatersGonnaHate"
ant-man,"@ThePaddyMcB Fair enough. Unrelated, think I may go see Ant-Man again tomorrow if you're interested."
ant-man,"@The_Xzav I'm gonna see Ant-man tomorrow, can't wait. (you seeeee, I'm doing theaters lol)"
ant-man,"@TshavhuThibe_ it's horrible, complete fail compared to the 1st movie. Rather watch Ant-man or Entourage."
ant-man,"@VickieSmalley hoping to see Ant-Man tomorrow night at the Everyman in Reigate... Apparently it's been refurbished and is pretty good,"
ant-man,@beanbagboy you and me both. Was chatting to @olwenhoff about 4th wall breaking after Ant-Man
ant-man,@jamess__paul Do you want to see Ant-Man on Tues?
ant-man,@lisak12009 my whole family is going to see Ant-Man on Friday before they leave though
ant-man,@marvelguy Love Winter Soldier. Incredibly close 3rd cause of its ramifications on the MCU. But I had too much fun with Ant-Man.
ant-man,"@mirithejedi I finally saw Ant-Man on Tuesday I really enjoyed it, the movie was so good &amp; entertaining &amp; I enjoyed the Spider-Man reference"
ant-man,"@nkuchibhotla Then again, this is coming from the girl who just saw Ant-man for the 3rd time"
ant-man,@pensandblues May still be out there (Avengers).  Am looking forward to Ant-Man and heard it si totally awesome!
ant-man,"@smoothfuego1 I understand, you enjoy Ant-Man and assure you it will start on time when you return tomorrow"
ant-man,"@tomlennon @iamsteadman @probablydrunk I'm a dumb, the missus booked a sofa at the electric tomorrow for Ant-Man. Fancy it tomorrow?"
ant-man,A special Tuesday night movie with nephew today.  We went to see Ant-Man. It was much better than I had anticipated. A nice old school vibe.
ant-man,ALSO GOOD NEWS  i'm going to go see Ant-Man tomorrow /twerktwerk
ant-man,ANT-MAN:                   Screening:  Sat &amp; Sun @ 1.00pm Super Tue @ 6.00pm  Armed with the astonishing ability... http://t.co/3IwBMzgK3D
ant-man,"Also tomorrow on http://t.co/5S3JnGVn9G you'll find my review of Ant-Man. That's right bitches, I actually saw a new film at the cinema!"
ant-man,Ant-Man at AMC Cinema Suites on a Sunday afternoon is a great choice. Good film. Have to see it again cause missed @HayleyAtwell's scene
ant-man,"Ant-Man feels like a rough 1st draft of the Marvel universe (namely Iron Man) which it probably was, considering it's where it all started."
ant-man,"Ant-Man felt like the 1st IronMan movie 2 me. That's good. It did feel like 2 films grafted onto each other. Not as good, but not bad either"
ant-man,Ant-Man is here through the 30th!! #AntMan #Summer http://t.co/PfEUoXh1EI
ant-man,"Ant-Man is important. No matter how small his role in Civil War may actually be, he is still there for a reason. Don't downplay him."
ant-man,Ant-Man is one of the funniest Marvel movies we've watched. Check out our spoiler free review! http://t.co/VPR25xu1LW http://t.co/GSTr1mpWQD
ant-man,"Ant-Man may have cliched and formulaic structure, but it's a whole lot of fun.   The final 40 mins is superb."
ant-man,"Ant-Man premieres tomorrow night in Doha. A savior from the atrocity that was ""Pixels."""
ant-man,Ant-Man review coming tomorrow hope to see you all their! #Fandomreviews #YouTube
ant-man,"Ant-Man starts tonight! PG-13.  Showtimes 7pm each night, 4 &amp; 7 weekends.  Monday matinee, August 17th.,  - Fried... http://t.co/cNOXzR7U9N"
ant-man,Ant-Man starts tonight! Runs Fri-Mon at 8:00pm nightly &amp; is rated PG. See you at the movies :) http://t.co/69Vwqx0AYu
ant-man,Ant-Man takes a second week at the top of the box office:   While it may not be setting th... http://t.co/3Nq90CoOwL via @technobuffalo
ant-man,Ant-Man tomorrow hopefully and I kind of want to give Fantastic Four a shot also .
ant-man,"Ant-Man tomorrow. Looking forward to it, but some asshole ruined it for me."
ant-man,Ant-Man was even better the 2nd time
ant-man,"Ant-Man was high on my list to see, but didn't get the chance until Tues night. It was such a fun movie! Ant-man v Falcon...classic!"
ant-man,"Ant-Man was ok. Loved the action, first hour dull, 2nd hour great, villain was actually a good villain."
ant-man,Ant-Man was ok. Nothing amazing but Marvel evil for having me sit through the longest credits to see the 2nd end credit scene.
ant-man,"Ant-Man, Edge Of Tomorrow, Inside Out, Inglourious Basterds and Obvious Child (my favourite of the week) #myweekinmovies"
ant-man,"Ant-man is getting good reviews, might have to go watch it sunday night"
ant-man,"Ant-man tops North American box office: Marvel action flick ""Ant-Man"" stayed atop the US box office Sunday, ... http://t.co/M5wQtM9aEl"
ant-man,"Ant-man was good tho. And props to the guy who mention about the 2nd extra scene at the end of the movie, you da real mvp."
ant-man,Anybody want to see Ant-man tomorrow?
ant-man,"Anyway, I'm going to the theaters tomorrow to watch Ant-man! I'm really excited. ;o;)b"
ant-man,Back from Ant-Man for the 2nd time! Love that film.
ant-man,"Been a little busy lately, just now getting to see Ant-Man. Oh and I'm a child! @ West 21st St. Warren https://t.co/lhg2x3c3PX"
ant-man,"Been an ant based week, first seeing ANT-man at the cinema. Now visiting ANTwerp. Maybe I'll finish with meeting ANT &amp; Dec? #Hopeful"
ant-man,Best part of Ant-Man is how Hank Pym's treasured photo of his wife covers up her actual face with a large sun hat.
ant-man,Box Office: Ant-Man avoids a Trainwreck with $22.6 million Friday for no. 1 ... - HitFix http://t.co/2yjxC6MMtJ
ant-man,"BreakingNews: 'Ant-Man' wins box office for 2nd weekend with $24.8 million haul, edging out 'Pixels' - USATODAY http://t.co/axW0yvlYqq"
ant-man,"Cannot wait to see Ant-Man and Southpaw with @neckcellent tomorrow! I need this downtime, badly!"
