,topic,text,label_Song,label_Zhao,,
10666,kpop,This is what I meant when I say being a Music Prod student is like being a Kpop trainee minus the dancing XD https://t.co/9ym1e4iTkV,1,1,,
13769,nirvana,did @MuhamedSacirbey ever meet @KristNovoselic ? was so proud to be a Nirvana fan when they did the benefit gig in april 93 @livenirvana,1,1,,
17534,shawn,Wishing I could see shawn open for Taylor and see Taylor on the 9th. http://t.co/6gODOLrw3z,1,1,,
12230,muslims,"#tytlive I will make a bet that all these Republicans who hate Muslims, LGBT, &amp; Women never actually sat down and did any research......",2,2,,
12016,murray,Murray sprinting along baseline getting everything back to the South African. But 3rd BP saved.,3,2,,
12502,naruto,My Naruto cards say they wont be here until Monday. I want them now.,2,2,,
10105,kendrick,"if you think Kendrick's Black Friday was better than J. Cole's, you can block me now",2,1,,
16271,sam smith,Happy Saturday! Today we're listening to @Hozier's cover of Sam Smith! Listen to it with us! https://t.co/r6NHwkWIf8,1,1,,
18884,u2,"Sunday Bloody Sunday by U2 is #nowplaying in Vera's On The Drive, Vancouver.  Download it now at http://t.co/cVR6Zgk3Ww",1,1,,
19614,yoga,"Does this picture look sadly familiar? Don't worry, our 'Yoga from the Sky' class held each Wednesday morning on... http://t.co/RWXjHlBbur",1,1,,
14956,rahul gandhi,@lindsaypereira hahaha may b this logic comes from Rahul Gandhi ( a joker on whom the world is laughing ) hahahah,1,1,,
18610,twilight,#StarWars #TheForceAwakens is opening at 500 less cinemas in the US than the 3rd Twilight movie - What??,2,2,,
10912,kris bryant,"If Kris Bryant can hit 3 more HRs by the end of the season, he will be the 2nd best rookie in Cubs history behind Kerry Wood if not the best",1,1,,
13848,paper towns,Wonder whether it'd be a good idea if sis and I went to the movies tomorrow to see Paper Towns.,1,3,,
12548,naruto,@KonohasHokage *he sighs and gets on his knees and hugs him and his starts to tear up* Naruto... C'mon! I know you can beat this! You can't+,1,2,,
12845,national ice cream day,New post: "Here's the scoop: Sunday is National Ice Cream Day" http://t.co/513oSsVfav,1,1,,
17750,super eagles,"Sunday Oliseh Meets With Victor Moses In London (Photo): Super Eagles coach, Sunday Oliseh has started the pro... http://t.co/PMLwowmab8",1,1,,
18809,twilight,Twilight spent in hottub with my beloved. No vampires or lycanthropy in sight which was sad. But he kissed me better as we watched sun sink,1,1,,
13766,nirvana,Which song reminds you of your childhood? - Seasons in the sun cover by nirvana. Disturb...   http://t.co/FZAux9JExi,3,1,,
10603,kim kardashian,"Yes I have a final tomorrow, but more importantly I need the Kim Kardashian emojis.",1,1,,
15840,rousey,"@TheNotoriousMMA UFC195 jan 2nd. aldo vs mcgregor, rousey vs tate. AT LEAST $13M gate alone. just dip into that money to bring you pal over",2,1,,
13546,nirvana,@AKustosz that's joke because you didn't know who he was before me and erik told you you sat in your room wanking over nirvana.,2,1,,
17874,the vamps,Here's The Vamps info you need we open at 9am tomorrow Signing off for the night. https://t.co/Lrm4aOZTDb,1,1,,
13111,niall,Oh. When shall i give it? I'm thinking of giving it tomorrow or on niall's birthday. Hmmm...,3,3,,
16922,seth rollins,"john cena vs seth rollins on monday night raw for US champion, team cena all the wayyy",3,1,,
16988,seth rollins,What a amazing Monday Night Raw!! Epic ending so excited to see @Sting challenge Seth Rollins for the WWE Championship #RAW #WWE #Sting,1,1,,
13310,nicki,"@TMZLive @MTVNews Miley &amp; Nicki staged it. Not only did NM break a smile, from the 2nd c-angle Miley says ""what"", before Nicki states topic",1,1,,
12670,naruto,the new naruto game comes out in February so I already know what I'm getting my bf for Valentine's Day   lol,1,1,,
11484,milan,@HoldTheMilan Chelsea and Liverpool lost now I hope Milan wins and Juventus lose tomorrow and it will be the perfect weekend,1,1,,
18820,twilight,im going to sleep excited for june 6th so i can watch twilight all day every day!,1,1,,
14725,ps4,"@Jez1987 its out today on Xbox1 and PS4, its PC, 360 and PS3 that are getting it on the 9th and 10th, PS4 will be around 5pm and 2pm on Xbox",3,1,,
15890,rousey,"If Rousey's fighting in Oz, that mean I can be out &amp; about on a 'pretty nice little Saturday' of errands as white brahs Twitter slobber?",2,1,,
12033,murray,The moon rising (Last Quarter) last Friday from the top of the Malahat. - Murray Sharratt Photography http://t.co/0b5eavru4q,3,3,,
19110,white sox,"I'm not kidding, the White Sox are running a promotion called ""Selfie Sunday"". And they wonder why they're the 2nd team in the 2nd city",2,2,,
14860,ps4,"@TheXclusiveAce I agree Ace, it was pretty bad and what I saw on PS4 was much better.  I don't have one so I may just go to something else!",2,1,,
19288,white sox,[Chicago Sun-Times] Dealing Quintana could make sense for White Sox http://t.co/f9Py2kbb5b #RedSox,1,1,,
14228,paul dunne,"Paul Dunne, Danny Willett, Anyone of 25 players can win the Open tomorrow, exciting stuff, on that note Goodnight my friends",1,1,,
11712,miss usa,The Miss USA questions portion may be the funniest thing I have ever seen,1,1,,
15958,rousey,@TheBlackTaco13 I'll get to see Rousey with you in Jan!,1,1,,
19656,yoga,Sunday yoga at Family Tree...  8:30 am - Healing Yoga with Karen in the Kula room 9:00 am - Barkan with Mel in... http://t.co/n7tU8diOBb,1,1,,
12842,national hot dog day,Thursday is my favorite holiday of the year... NATIONAL HOT DOG DAY!!!!!!!,1,1,,
19878,zac brown band,"Song of the Day: Heavy is the Head by Zac Brown Band / Chris Cornell  Good morning and happy Tuesday, and Teller... http://t.co/HU38wUTm9O",1,1,,
11356,milan,"MILAN - Italian Premier Matteo Renzi on Thursday defended the government's move to save four local banks, saying https://t.co/RMVUNENjwD",3,3,,
16721,scott walker,@sunshinesplat Leaning Scott Walker actually. Liked some of Carly Fiorina. Ted Cruz would be my 3rd (albeit over the top personality),1,1,,
13252,niall,please change the 10th ww trend into Niall and Bianca yes much better!,1,1,,
15718,rolling stone,Kim Kardashian on the cover of Rolling Stone is not The Death Of Rock. This is.  http://t.co/kuR5KeAgsY,2,2,,
10906,kris bryant,I literally just sat down to see Kris Bryant smash a bomb. #LetsGo,3,1,,
10945,kris bryant,Kris Bryant steals his 11th base of the year. #Cubs,2,3,,
18509,tony blair,Tony Blair: The Iraq war may have played a part in the creation of ISIS What will the war in Syria create?,3,2,,
10653,kpop,KPOP FANS HELPING 5SOS #ShesKindaHotVMA it because 5th harmony should of not say bad stuff about 2NE1!!!,2,2,,
12316,muslims,Growth rate of Muslims declined for the 2nd consecutive decade. Will the fear mongering stop? http://t.co/uNRid5YdFF,2,3,,
10010,katy perry,LMAO ET by Katy perry on the radio throwback to the 8th grade cosmic challenge,1,1,,
17443,shawn,@shawnfricke Okay thanks Shawn and I figured it may be a stretch to do it all but never heard mention of it so thought i'd ask you.,1,1,,
14448,paul mccartney,There's a Paul McCartney show in Toronto on Oct 17 and I want to go so bad,1,1,,
16164,sam smith,Grammy Award winner Sam Smith confirmed on Tuesday he will sing the theme for the next James Bond movie. https://t.co/HND1LpUGOz,3,1,,
19983,zayn,I'm surprised it took this long after Zayn left for this to happen.  https://t.co/6mEm3A3ala,2,2,,
17350,shawn,I'm going to try to get it done before I see Shawn tomorrow but I don't think it's gunna happen,2,2,,
10388,kendrick lamar,Kendrick Lamar has braids and he's "cool" but I got laughed @ for having four str8 backs for 8th grade graduation???????????..,2,2,,
19588,yakub,"You can't escape the truth by closing eyes.  If not Yakub today, something else tomorrow;they will be like this only https://t.co/MtZycRuAwa",2,2,,
18153,thor,"I've only had 3 costumes come in tonight, and they were all Marvel.  Thor, Thor, and Wolverine. https://t.co/3zlDihe8ml",2,1,,
17720,super eagles,New Super Eagles coach Sunday Ogochukwu Oliseh has warned that his attempt to rebuild the national team would take some time.,2,2,,
11229,milan,@btsportfootball You called it. The first 15 minutes of the 2nd half in any Milan and Verona game is crucial and is again!,1,1,,
14069,paul dunne,"Jordan Spieth finishes the round at -6, is currently tied for 2nd with Paul Dunne and Jason Day (all -11) at The Open.",3,3,,
16930,seth rollins,@JohnCena that was golden what you said to Seth Rollins on Monday Night Raw. Go Cena! 16X champion coming soon to you.,1,1,,
18911,u2,"@ZiggoDome any advise on how to get U2 tickets for the 9th, need two GA?",3,3,,
14238,paul dunne,"So hope that, at the 18th, Paul Dunne makes that classic walk, knowing his putt could win The Open. What a story...",1,1,,
18970,u2,"U2's on hiatus but we're not. We'll be in Atlanta this Thurs/Fri. If you're in the area w/ a U2 tattoo, we'd love to meet up &amp; document you!",1,1,,
12747,national hot dog day,In honor of National Hot Dog Day on July 23. I advise you to forget this article before you eat your half-dozen. https://t.co/PI64RLOEO9,1,1,,
14091,paul dunne,Paul Dunne is suddenly British! @BBCSport @tarMAKbert If he loses tomorrow he'll probably be Irish again no doubt. #TheOpen2015,2,2,,
19991,zayn,It was nice of @onedirection to break this news on a Sunday and not while I'm sitting at work like they did with Zayn. That was rude.,1,1,,
14901,ps4,I should really get sleep since I have class tomorrow but when you have a PS4 and Madden 16 in front of you it's kinda hard..,2,1,,
17033,sharknado,Sharknado may well be the flat out dumbest thing ever to occupy a TV screen.,2,2,,
16207,sam smith,"Soooo my friend, Mari, is selling two Sam Smith concert tickets for $275 to his concert in the Maverick Center in Salt Lake on October 2nd.",3,3,,
14677,prince george,Wishing the lovely Prince George a wonderful 2nd birthday! http://t.co/jReTSEIkib,1,1,,
11539,milan,Good lord the food in Italy is so damn good.. Found a random cheap spot in Milan.. Venice tomorrow! http://t.co/PmyWIXQR5K,1,1,,
12788,national hot dog day,National hot dog day is tomorrow. Now is your chance to grab a weiner for only $1. And we all know  everyone loves cheap weiners.,1,1,,
10479,kendrick lamar,"https://t.co/bq9X0jmBqb LIST: Kendrick Lamar, Taylor Swift, the Weeknd up for top Grammys https://t.co/nO04o3OPhc",3,3,,
11815,moto g,"@Taufiq_Ovi Go with the Moto G 3rd gen 16 GB overall a very good phone, even the OnePlus One is a good choice but cam better on Moto G3.",1,1,,
17942,the vamps,wearing the hottest top I have ever owned on Wednesday to see The Vamps genuinely more excited for the outfit than the concert,1,1,,
12234,muslims,"1,001,940 people could have seen 'Muslims in Nepal' since its 1st mention until it became a Trending Topic. #trndnl",3,3,,
18023,thor,@winasexy41 ok girly good looking cause we love Aug.. Don't want  no Thor that don't mean he any good hurting him!!!,1,1,,
13780,nirvana,listening to Nirvana reminds me of how cool my string orchestra teacher is. she's my 1st period &amp; I'm always pumped af to see her,1,1,,
11838,moto g,Moto G (3rd Gen) G vs. Apple iPhone 6 review: Moto G's price beats iPhone: Since the new handset is said to be... http://t.co/GFJxRKMUTP,1,3,,
15589,red sox,"Yankees fall to Red Sox, fail to gain ground on Blue Jays: The scoreboard on the Green Monster showed a rare sight Monday night: a Bl...",2,3,,
16845,seth rollins,"John Stewart, assists Seth Rollins for the win over Cena in an angle that will be poorly executed this Monday night on #RAW #SummerSlam",2,2,,
19397,yakub,Still not clear whether Yakub will be hanged Thursday! One more challenge to his death sentence in the SC,2,2,,
12608,naruto,I may be forever confused by how the world works in it but I do so love the fights in the Naruto series.,1,1,,
19644,yoga,"No regular classes tomorrow, Monday, September 7.....  Please join us for the following:  9:30am Hatha Yoga w/... http://t.co/k9THm7QKpu",1,1,,
14025,paul dunne,Paul Dunne currently regretting the deal he struck with Satan to finish Sunday in first place. #open2015,2,3,,
12672,naruto,tomorrow is my day off. I'm going to be chillin in my underwear watching Naruto all day,1,1,,
15920,rousey,Rousey rising: A benchwarmer argues against those who call the UFC champ's ... - Santa Maria Sun http://t.co/HQXgNc302i #Robot,3,3,,
15149,randy orton,"Follow our live RAW play by play, or Randy Orton will RKO you outta nowhere  http://t.co/E2fABkhp73 http://t.co/9ikvFd6ODH",1,1,,
12958,national ice cream day,"Sunday is National Ice Cream Day. To celebrate, the following retailers are offering some pretty sweet deals. http://t.co/ONws88EOUK",1,1,,
16292,sam smith,I'm going to a Sam Smith concert tomorrow hahahahahaha I totally forgot,1,1,,
12292,muslims,"@mzeyara idul adha is the feast of the sacrifice, major festival, greater eid. It's the 2nd of two religious holidays celebrated by Muslims.",3,3,,
16485,saudi arabia,IS leader threatens to attack Israel 7 months after he threatened Saudi Arabia. Israel must be hurt to come 2nd only https://t.co/V6wQiA2HwM,2,2,,
10992,lady gaga,Anarchists dried off in the sun inside Lady Gaga's crotch. I am cringeing.,2,2,,
11749,moto g,@TELUSsupport Will the patch be delivered together with the 5.1 update for Moto G 1st Gen or separately?,3,3,,
10261,kendrick,I posted on FB for the first time in years to only post links from the Black Friday songs from J.Cole and Kendrick lmao,3,1,,
16867,seth rollins,Seth Rollins breaks John Cena's nose on 'WWE Monday Night Raw' but the fight continued on http://t.co/wSk9BzuwK7,3,3,,
15190,randy orton,Sting save Randy Orton from the attack of the Authority; Raw 16 March 2015 https://t.co/aUaONl4av8,1,3,,
13338,nicki,"I do have some complaints about this this beautiful Sunday night. First, miley handled that well. Nicki should be... http://t.co/4pAjjyTGhd",1,1,,
18387,tom brady,tom brady supports Donald trump. Therefore he's gonna throw 4 pics and pull his hamstring on Thursday night.,1,2,,
14053,paul dunne,Former #UAB &amp; amateur golfer Paul Dunne is in a 3-way-tie for the lead at The Open Championship at -12 going into tomorrow's final round.,1,2,,
12329,muslims,Imagine if population %age of Muslims in India declined &amp; someone wrote asking Muslims to be happy about this https://t.co/hhvMyxjMRG,1,2,,
14103,paul dunne,Paul Dunne would Miss out on a $1.8 Million dollar payday if he wins tomorrow. He is an Amateur.,2,2,,
18722,twilight,#Birthday Happy Birthday to author Stephanie Meyer-writer of the Twilight series 42 December 24th https://t.co/nMZpSejAcA,1,1,,
19929,zayn,@BasicallyPayne_ @Real_Liam_Payne ok... First thing first.. U gotta know the statement wasn't made by Zayn but management and the sun,3,3,,
16732,scott walker,Sunday column: Give us back the real Scott Walker: http://t.co/3Q5ve1Glib,1,2,,
13855,paper towns,#wallofcow the box office won't measure the impact Paper Towns has had. I saw it again sunday and it holds up over time ;),1,1,,
15850,rousey,@dacanes3 yeah. I just expect cyborg to accuse the UFC and Rousey of being afraid of her when the dec fight doesn't get booked.,2,2,,
18043,thor,It's Friday. Get hammered with Thor and the #Avengers Age of Ultron tonight for just 99p! https://t.co/zxPCwGfbm0 https://t.co/xm78io9hpZ,1,1,,
12060,murray,"@SeanTierneyTSS If Murray comes back well, he'll be the 2nd/3rd best D maybe Johnson. I'd want him for the Leafs for sure.",1,1,,
13331,nicki,Because Nicki actually looked up to Kim but Kim came at her for no reason?? Why argue with someone you idolized? https://t.co/LjIu2xxZiL,2,2,,
17273,sharknado,"for all friends watching Sharknado tonight pls tag ur spoilers, I won't be watching till tomorrow thx",2,3,,
17397,shawn,"When @A_Nuffsaid walked off, Shawn sat down on one of the benches in the hallway. Having a real relationship was so new to him and he +",1,3,,
17505,shawn,PSA I am stealing Shawn tomorrow night. He will be returned in the morning of Sunday. Thank you.,1,1,,
14541,prince george,Saturday Deep Stack will be back at the Prince George from tomorrow.,3,1,,
19227,white sox,"Taijuan Walker improved to 9-7 in Sunday's win over the White Sox, though he also surrendered five runs on seven hits over 5 2/3 innings.",1,3,,
18620,twilight,@Dslagell I started getting obsessed with it after I watched twilight and read all the books in 5th grade haha it stuck with me,1,1,,
10414,kendrick lamar,@ITSS_JINX yo you should check out that joint by   Kendrick Lamar and j Cole call black Friday,2,1,,
18478,tony blair,A senior official told Nick Clegg that the previous gvrment *cough* Tony Blair okay'ed mass survelliance of Brits. https://t.co/59BOFYLFq2,3,2,,
17842,super eagles,"Shanghai Shenxin of China forward, Daniel Chima Chukwu has praised Super Eagles coach Sunday Oliseh for the quality of players he invited",1,3,,
16809,seth rollins,Btw i may be a Seth Rollins mark but the reason I'm not dragging him into this is cause you'd be shocked by why you don't know about people,2,2,,
15734,rolling stone,Rolling Stone has published drinking game rules for tomorrow's debate. http://t.co/l2lm3bJojW  And @mtaibbi will be live tweeting the game.,1,1,,
18325,tom brady,NFL: Judge sides with Brady on 'Deflategate': NEW YORK -- Tom Brady learned Thursday he will star... http://t.co/pKZ6Dw1xsF #Deflategate,3,3,,
13095,niall,Niall faced serious bullying problems as a kid. He got suspended in the 3rd grade for swinging when somebody called him ugly,2,2,,
11786,moto g,Motorola Moto G (3rd Gen) Back Covers and Flip Covers now available in India:  Motorola launched the Moto G (3... http://t.co/IWI7huGVEY,3,3,,
10948,kris bryant,Kris Bryant will make October 7th come faster don't worry everyone.,1,1,,
17406,shawn,shawn is coming tomorrow guess whos not going :(,1,2,,
10277,kendrick,"Kendrick and Abel cleaning up Grammy nominations, new office with dope views, and new Latrell music on the way...big Monday",3,1,,
14080,paul dunne,"Paul Dunne after birdie on 10: ""Cool to lead the Open on the back nine on Sunday. A different kind of Sunday, but...""",1,1,,
11032,lady gaga,Why is there rumours going around saying Lady Gaga's 5th album is titled 'Scorpio Moon",3,2,,
17743,super eagles,"Samson Siasia, Stephen Keshi and now Sunday Oliseh all cant be lying about Mikel Obi's attitude of disdain concerning Super Eagles",2,2,,
19105,white sox,@motowncatscrown - Yep. Believe the Indians are in the 10th slot (lost today) and the White Sox are 11th (losing). Tigers 12th.,1,3,,
19782,zac brown band,Listen for the Zac Brown Band sounder tonight and be caller 9 to win tickets to see them this Sunday! http://t.co/qpdAjF20O9,1,1,,
15323,real madrid,Gunners want Real Madrid midfielder? Tuesday's Arsenal gossip round-up http://t.co/X45YJ2N09u http://t.co/8CxXnXNE4i,1,2,,
13565,nirvana,@pratoshnivedita @JayOleman Nirvana - the ultimate 'Home-coming'. Some may take infinitely longer.,1,1,,
18123,thor,"@macrocredit @Reagoikanya turns into Cupid in February, becomes the Easter Bunny and does short stints as Superman, Thor &amp; other characters",1,1,,
18707,twilight,What's On @ Chittering this weekend?  Chittering Valley Twilight Markets - Saturday 12th : see the Shire website... https://t.co/hB5owXwwnj,1,1,,
12598,naruto,Getting emotional about naruto at 8:18 am on a Monday,1,1,,
15523,red sox,"Just as it becomes 5-1 Red Sox, Arod hits his 29th HR, now 4-3 Baltimore. #bluejays",3,3,,
11600,milan,best part about Italy getting back the 4th spot is that 7th will now get Europa league soccer. Will make it easier for Milan,1,1,,
10803,kris bryant,"Gorzelanny finishes the AB, walks Schwarber. 2 on and 1 out for Kris Bryant in the 5th",3,3,,
10011,katy perry,"Last Friday Night by Katy Perry is #nowplaying in Mad Hatter Hookah, Hiram.  Download it now at http://t.co/Jrj2U6yy3I",1,1,,
19124,white sox,#MNTwins open 2016 season with series at Baltimore and Kansas City. Home opener April 11 vs. White Sox.,3,3,,
18020,thor,@mobeenakhan I think you may be confusing @ijclark with Thor. (Easily done.),2,2,,
16536,saudi arabia,"By Tom Perry BEIRUT, Dec 7 (Reuters) - A Syrian opposition meeting due to begin in Saudi Arabia on Tuesday marks the most serious effort",3,3,,
